Language,original,english,czech,german,russian,polish,hungarian,Italiano,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_PlayZ_Welcome_Title,THE FAR EAST,THE FAR EAST,DALEKÝ VÝCHOD,DER FERNE OSTEN,ДАЛЬНИЙ ВОСТОК,DALNI WSCHÓD,A TÁVOLI KELET,L'ESTREMO ORIENTE,EL LEJANO ORIENTE,L'EXTRÊME-ORIENT,遠東,極東,O EXTREMO ORIENTE,远东,
STR_PlayZ_Welcome_Line1,"Sakhal, a remote Russian Far East archipelago.","Sakhal, a remote Russian Far East archipelago.","Sakhal, vzdálené ruské souostroví na Dálném východě.","Sachalin, ein abgelegener russischer Fernost-Archipel.","Сахалин — отдалённый российский архипелаг на Дальнем Востоке.","Sachalin, odległy rosyjski archipelag Dalekiego Wschodu.","Szahalin, egy távoli orosz távoli-keleti szigetcsoport.","Sachalin, un remoto arcipelago della Russia orientale.","Sajalín, un remoto archipiélago del Lejano Oriente ruso.","Sakhaline, un archipel isolé de l'Extrême-Orient russe.",萨哈林，俄罗斯远东的一处偏远群岛。,サハリン。ロシア極東の離れた群島。,"Sakhalin, um arquipélago remoto do Extremo Oriente russo.",萨哈林，俄罗斯远东的一处偏远群岛。,
STR_PlayZ_Welcome_Line2,"Once military industry and science. Now fallout, rust, and infection.","Once military industry and science. Now fallout, rust, and infection.","Dříve vojenský průmysl a věda. Nyní spad, rez a infekce.","Einst Militärindustrie und Wissenschaft. Jetzt Fallout, Rost und Infektion.","Когда-то военная промышленность и наука. Теперь fallout, ржавчина и инфекция.","Kiedyś przemysł wojskowy i nauka. Teraz skażenie, rdza i infekcja.","Valaha katonai ipar és tudomány. Most sugárfallout, rozsda és fertőzés.","Un tempo industria militare e scienza. Ora fallout, ruggine e infezione.","Antes industria militar y ciencia. Ahora radiación, óxido e infección.","Autrefois industrie militaire et science. Maintenant fallout, rouille et infection.",曾是军工与科学之地。如今是辐射、锈蚀与感染。,かつては軍事産業と科学。今は放射線、錆、そして感染。,"Outrora indústria militar e ciência. Agora fallout, ferrugem e infecção.",曾是军工与科学之地。如今是辐射、锈蚀与感染。,
STR_PlayZ_Welcome_Line3,"Radiation is everywhere: hot zones, snowfall, and contaminated gear stack fast.","Radiation is everywhere: hot zones, snowfall, and contaminated gear stack fast.","Radiace je všude: horké zóny, radioaktivní sníh a kontaminovaná výstroj se sčítají rychle.","Strahlung ist überall: heiße Zonen, radioaktiver Schneefall und kontaminierte Ausrüstung summieren sich schnell.","Радиация повсюду: горячие зоны, радиоактивный снег и заражённое снаряжение накапливаются быстро.","Promieniowanie jest wszędzie: gorące strefy, radioaktywny śnieg i skażony sprzęt szybko się kumulują.","A sugárzás mindenhol jelen van: forró zónák, radioaktív hó és szennyezett felszerelés gyorsan halmozódik.","La radiazione è ovunque: zone calde, neve radioattiva e equipaggiamento contaminato si accumulano in fretta.","La radiación está en todas partes: zonas calientes, nieve radiactiva y equipo contaminado se acumulan rápido.","La radiation est partout : zones chaudes, chute de neige radioactive et équipement contaminé s'accumulent vite.",辐射无处不在：热区、放射雪和受污染装备会迅速叠加。,放射線は至る所に。危険区域、放射能を含む降雪、汚染された装備が急速に蓄積する。,"A radiação está em todo lugar: zonas quentes, neve radioativa e equipamento contaminado acumulam-se rápido.",辐射无处不在：热区、放射雪和受污染装备会迅速叠加。,
STR_PlayZ_Welcome_Line4,"Prepare before you push south. NBC loadout, dosimetry, water treatment, antirads.","Prepare before you push south. NBC loadout, dosimetry, water treatment, antirads.","Připravte se před postupem na jih. NBC výstroj, dozimetrie, úprava vody, antiradiační prostředky.","Bereite dich vor, bevor du nach Süden vorstößt. ABC-Ausrüstung, Dosimetrie, Wasseraufbereitung, Antistrahler.","Готовьтесь перед продвижением на юг. NBC-снаряжение, дозиметрия, очистка воды, антирадиационные препараты.","Przygotuj się przed marszem na południe. Wyposażenie NBC, dozymetria, uzdatnianie wody, leki antyradiacyjne.","Készülj fel, mielőtt délre indulnál. NBC felszerelés, dozimetria, víztisztítás, antiradiációs szerek.","Preparati prima di spingersi a sud. Equipaggiamento NBC, dosimetria, trattamento dell'acqua, antiradiazione.","Prepárate antes de avanzar al sur. Equipo NBQ, dosimetría, tratamiento de agua, antirradiación.","Préparez-vous avant de pousser vers le sud. Équipement NBC, dosimétrie, traitement de l'eau, antirads.",向南推进前做好准备。NBC装备、剂量测定、水处理、抗辐射药物。,南へ進む前に準備を。NBC装備、線量計、浄水、アンチラッド。,"Prepare-se antes de avançar para o sul. Equipamento NBC, dosimetria, tratamento de água, antirradiação.",向南推进前做好准备。NBC装备、剂量测定、水处理、抗辐射药物。,
STR_PlayZ_Welcome_Line5,"Mind altitude, cold exposure, infected threats, and the island's geothermal hazards.","Mind altitude, cold exposure, infected threats, and the island's geothermal hazards.","Dávejte pozor na nadmořskou výšku, chlad, infikované hrozby a geotermální nebezpečí ostrova.","Achte auf Höhe, Kälte, infizierte Bedrohungen und die geothermischen Gefahren der Insel.","Учитывайте высоту, холод, заражённых и геотермальные опасности острова.","Uważaj na wysokość, zimno, zagrożenia od zainfekowanych i zagrożenia geotermalne wyspy.","Figyelj a magasságra, a hidegre, a fertőzött fenyegetésekre és a sziget geotermikus veszélyeire.","Fai attenzione all'altitudine, al freddo, alle minacce infette e ai pericoli geotermici dell'isola.","Cuidado con la altitud, el frío, las amenazas infectadas y los peligros geotérmicos de la isla.","Attention à l'altitude, au froid, aux infectés et aux dangers géothermiques de l'île.",注意海拔、寒冷、感染者威胁和岛屿的地热危险。,標高、寒冷、感染体の脅威、島の地熱危険に注意せよ。,"Cuidado com altitude, frio, ameaças infectadas e perigos geotérmicos da ilha.",注意海拔、寒冷、感染者威胁和岛屿的地热危险。,
STR_PlayZ_Welcome_Line6,"Doc Ledovik on Odinokiy Vulkan still holds the briefcase and the keys.","Doc Ledovik on Odinokiy Vulkan still holds the briefcase and the keys.","Doktor Ledovik na Odinokiy Vulkan stále drží aktovku a klíče.","Doktor Ledovik am Odinokiy Vulkan hält noch immer den Aktenkoffer und die Schlüssel.","Док Ледовик на Однокий Вулкане всё ещё хранит портфель и ключи.","Doktor Ledovik na Odinokiy Vulkan wciąż trzyma teczkę i klucze.","Doktor Ledovik az Odinokiy Vulkanon még mindig őrzi az aktet és a kulcsokat.","Il dottor Ledovik sull'Odinokiy Vulkan custodisce ancora la valigetta e le chiavi.","El doctor Ledovik en el Odinokiy Vulkan aún guarda el maletín y las llaves.","Le docteur Ledovik sur l'Odinokiy Vulkan détient encore la mallette et les clés.",奥季诺基火山的莱多维克博士仍握着公文包和钥匙。,オディノキイ・ヴルカンのレドヴィク博士はまだブリーフケースと鍵を握っている。,"O doutor Ledovik no Odinokiy Vulkan ainda guarda a pasta e as chaves.",奥季诺基火山的莱多维克博士仍握着公文包和钥匙。,
STR_PlayZ_Welcome_Line7,Trading camps offer only an illusion of safety.,Trading camps offer only an illusion of safety.,Obchodní tábory nabízejí jen iluzi bezpečí.,Handelslager bieten nur eine Illusion von Sicherheit.,Торговые лагеря дают лишь иллюзию безопасности.,Obozy handlowe dają tylko iluzję bezpieczeństwa.,A kereskedelmi táborok csak a biztonság látszatát nyújtják.,I campi commerciali offrono solo un'illusione di sicurezza.,Los campamentos de comercio solo ofrecen una ilusión de seguridad.,Les camps commerciaux ne offrent qu'une illusion de sécurité.,贸易营地只提供虚假的安全感。,交易キャンプが与えるのは安全の幻だけだ。,Os acampamentos comerciais oferecem apenas uma ilusão de segurança.,贸易营地只提供虚假的安全感。,
STR_PlayZ_Welcome_Line8,"A Soviet nuclear storage site, sealed and powerless, stands at Burukan.","A Soviet nuclear storage site, sealed and powerless, stands at Burukan.","Sovětské jaderné skladiště, uzavřené a bez energie, stojí v Burukanu.","Ein sowjetisches Atomlager, versiegelt und stromlos, steht in Burukan.","Советское ядерное хранилище, запечатанное и обесточенное, стоит в Бурукане.","Radzieckie składowisko jądrowe, zapieczętowane i pozbawione prądu, stoi w Burukan.","Egy szovjet nukleáris raktár, lezárva és áram nélkül, Burukanban áll.","Un deposito nucleare sovietico, sigillato e senza corrente, si trova a Burukan.","Un almacén nuclear soviético, sellado y sin energía, se alza en Burukan.","Un site de stockage nucléaire soviétique, scellé et sans courant, se dresse à Burukan.",布鲁坎有一处苏联核储存设施，封闭且无电力。,ブルカンに、封鎖され無力化されたソ連の核保管施設が立つ。,"Um depósito nuclear soviético, selado e sem energia, fica em Burukan.",布鲁坎有一处苏联核储存设施，封闭且无电力。,
STR_PlayZ_Welcome_Line9,A stranded freighter lies off Shantar in the south-west.,A stranded freighter lies off Shantar in the south-west.,Na jihozápadě u Šantaru leží uvízlý nákladní člun.,Ein gestrandeter Frachter liegt im Südwesten vor Shantar.,На юго-западе у Шантара лежит севший на мель грузовой корабль.,Na południowym zachodzie u Shantar leży osiadły frachtowiec.,Egy zátonyra futott teherszállító a délnyugaton fekszik Santar mellett.,Una nave mercantile arenata giace a sud-ovest al largo di Shantar.,Un carguero varado yace al suroeste frente a Shantar.,Un cargo échoué repose au sud-ouest au large de Shantar.,一艘搁浅的货轮停在西南方向尚塔尔近海。,南西、シャンタール沖に座礁した貨物船が横たわる。,Um cargueiro encalhado jaz a sudoeste ao largo de Shantar.,一艘搁浅的货轮停在西南方向尚塔尔近海。,
