Language,original,english,czech,german,russian,polish,hungarian,Italiano,spanish,french,chinese,japanese,portuguese,chinesesimp,
STR_PlayZ_EarPlugs_Keybind,Use earplugs,Use earplugs,Použít špunty do uší,Ohrstöpsel verwenden,Использовать беруши,Używać zatyczek do uszu,Füldugók használata,Usare i tappi per le orecchie,Usar los tapones para los oídos,Utiliser les bouchons d'oreille,使用耳塞,耳栓を使う,Usar os tampões de ouvido,使用耳塞,
STR_PlayZ_EmoteLyingDown_Keybind,Sleep,Sleep,Spát,Schlafen,Спать,Spać,Aludni,Dormire,Dormir,Dormir,睡觉,寝る,Dormir,睡觉,
STR_PlayZ_BackpackToHands_Keybind,Take backpack in hands,Take backpack in hands,Vzít batoh do rukou,Rucksack in die Hand nehmen,Взять рюкзак в руки,Weź plecak do rąk,Hátizsákot kézbe venni,Prendi lo zaino in mano,Coger la mochila en las manos,Prendre le sac à dos en main,手持背包,バックパックを手に取る,Pegar mochila nas mãos,手持背包,
STR_PlayZ_MouthBlocker_Keybind,Take face cover in hands,Take face cover in hands,Sundat kryt obličeje,Gesichtsbedeckung abnehmen,Снять маску,Zdjąć maskę,Arcvédő levétele,Togli la maschera,Quitar la mascarilla,Retirer le masque,脱下面罩,フェイスカバーを外す,Remover cobertura facial,脱下面罩,
STR_PlayZ_MouthBlocked,Face covered,Face covered,Obličej zakrytý,Gesicht verdeckt,Лицо закрыто,Twarz zakryta,Arc eltakarva,Volto coperto,Rostro cubierto,Visage couvert,面部被遮蓋,顔が覆われている,Rosto coberto,面部被遮盖,
STR_PlayZ_ACL_LogoutNote_Killed,"The character stays on the server during the countdown, and if you exit before the countdown finishes you will be killed for leaving during combat!","The character stays on the server during the countdown, and if you exit before the countdown finishes you will be killed for leaving during combat!","Postava zůstává během odpočítávání na serveru a pokud odejdete před dokončením odpočítávání, budete zabiti za to, že jste odešli během boje.","Der Charakter bleibt während des Countdowns auf dem Server, und wenn Sie ihn verlassen, bevor der Countdown abgelaufen ist, werden Sie getötet, weil Sie ihn während des Kampfes verlassen haben","Персонаж остается на сервере во время обратного отсчета, и если вы выйдете до окончания обратного отсчета, вы будете убиты за уход во время боя.","Postać pozostaje na serwerze podczas odliczania, a jeśli wyjdziesz przed zakończeniem odliczania, zostaniesz zabity za opuszczenie podczas walki","A karakter a szerveren marad a visszaszámlálás alatt, és ha kilépsz, mielőtt a visszaszámlálás véget érne, akkor megölnek, mert elhagyta a harcot.","Il personaggio rimane sul server durante il conto alla rovescia e se esci prima che il conto alla rovescia finisca verrai ucciso per esserti allontanato durante il combattimento","El personaje permanece en el servidor durante la cuenta regresiva, y si sales antes de que finalice la cuenta regresiva, te matarán por haberte ido durante el combate.","Le personnage reste sur le serveur pendant le compte à rebours, et si vous quittez avant la fin du compte à rebours, vous serez tué pour être parti pendant le combat","倒計時期間角色留在服務器上，如果你在倒計時結束前退出，你將在戰鬥中因離開而被殺死","カウントダウンの間、キャラクターはサーバーにとどまり、カウントダウンが終了する前に退出すると、戦闘中に退出するために殺されます","O personagem fica no servidor durante a contagem regressiva, e se você sair antes da contagem regressiva terminar você será morto por sair durante o combate","倒计时期间角色留在服务器上，如果你在倒计时结束前退出，你将在战斗中因离开而被杀死",
STR_PlayZ_ACL_LogoutNote_Flare,"The character stays on the server during the countdown, and if you exit before the countdown finishes a signal flare will be lit under you for leaving during combat!","The character stays on the server during the countdown, and if you exit before the countdown finishes a signal flare will be lit under you for leaving during combat!","Postava během odpočítávání zůstává na serveru, a pokud odejdete před dokončením odpočítávání, rozsvítí se pod vámi signální světlice k odchodu během boje!","Der Charakter bleibt während des Countdowns auf dem Server, und wenn Sie den Server verlassen, bevor der Countdown abgelaufen ist, wird unter Ihnen eine Signalfackel zum Verlassen während des Kampfes entzündet!","Персонаж остается на сервере во время обратного отсчета, и если вы выйдете до окончания обратного отсчета, под вами загорится сигнальная ракета для ухода во время боя!","Postać pozostaje na serwerze podczas odliczania, a jeśli wyjdziesz przed zakończeniem odliczania, pod tobą zapali się flara sygnałowa za opuszczenie podczas walki!","A karakter a szerveren marad a visszaszámlálás alatt, és ha kilépsz, mielőtt a visszaszámlálás véget érne, egy jelzőfáklya világít alattad, hogy harc közben távozzon!","Il personaggio rimane sul server durante il conto alla rovescia e se esci prima che il conto alla rovescia finisca, sotto di te si accenderà un bagliore di segnalazione per aver lasciato durante il combattimento!","El personaje permanece en el servidor durante la cuenta regresiva, y si sales antes de que finalice la cuenta regresiva, se encenderá una bengala debajo de ti para que te vayas durante el combate!","Le personnage reste sur le serveur pendant le compte à rebours, et si vous sortez avant la fin du compte à rebours, une fusée éclairante sera allumée sous vous pour partir pendant le combat!","角色在倒計時期間留在服務器上，如果你在倒計時結束前退出，一個信號彈將在你身下點亮，以便在戰鬥中離開!","カウントダウンの間、キャラクターはサーバーにとどまり、カウントダウンが終了する前に退出すると、戦闘中に退出するための信号フレアがあなたの下で点灯します!","O personagem permanece no servidor durante a contagem regressiva, e se você sair antes da contagem regressiva terminar, um sinalizador será aceso embaixo de você para sair durante o combate!","角色在倒计时期间留在服务器上，如果你在倒计时结束前退出，一个信号弹将在你身下点亮，以便在战斗中离开!",
STR_PlayZ_ACL_LogoutNote_Extended,"The character stays on the server during the countdown, and the countdown is extended due to our automated combat logout detection.","The character stays on the server during the countdown, and the countdown is extended due to our automated combat logout detection.","Postava během odpočítávání zůstává na serveru a odpočítávání se prodlužuje díky naší automatické detekci odhlášení z boje.","Der Charakter bleibt während des Countdowns auf dem Server, und der Countdown wird aufgrund unserer automatischen Kampfabmeldeerkennung verlängert.","Персонаж остается на сервере во время обратного отсчета, а обратный отсчет продлевается благодаря нашему автоматическому обнаружению выхода из боя.","Postać pozostaje na serwerze podczas odliczania, a odliczanie jest wydłużane dzięki naszemu automatycznemu wykrywaniu wylogowania z walki.","A karakter a szerveren marad a visszaszámlálás alatt, és a visszaszámlálás meghosszabbodik az automatizált harci kijelentkezés észlelésnek köszönhetően.","Il personaggio rimane sul server durante il conto alla rovescia e il conto alla rovescia viene prolungato grazie al nostro rilevamento automatico della disconnessione dal combattimento.","El personaje permanece en el servidor durante la cuenta regresiva, y la cuenta regresiva se extiende debido a nuestra detección automática de cierre de sesión de combate.","Le personnage reste sur le serveur pendant le compte à rebours, et le compte à rebours est prolongé grâce à notre détection de déconnexion de combat automatisée.","倒計時期間角色留在服務器上，由於我們的自動戰鬥註銷檢測，倒計時會延長.","カウントダウンの間、キャラクターはサーバーにとどまり、自動戦闘ログアウト検出によりカウントダウンが延長されます.","O personagem permanece no servidor durante a contagem regressiva, e a contagem regressiva é estendida devido à nossa detecção automática de logout de combate.","倒计时期间角色留在服务器上，由于我们的自动战斗注销检测，倒计时会延长.",
STR_PlayZ_DeathStats_TimeSurvived,Time survived,Time survived,Time survived,Time survived,Time survived,Time survived,Time survived,Time survived,Time survived,Time survived,Time survived,Time survived,Time survived,Time survived,
STR_PlayZ_DeathStats_AnimalKills,Animal kills,Animal kills,Animal kills,Animal kills,Animal kills,Animal kills,Animal kills,Animal kills,Animal kills,Animal kills,Animal kills,Animal kills,Animal kills,Animal kills,
STR_PlayZ_DeathStats_Close,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,Closed,
STR_PlayZ_SmershVest_Desc,"Light and useful vest that can be expanded with an attached utility buttpack or a tent.","Light and useful vest that can be expanded with an attached utility buttpack or a tent.","Lehká a užitečná vesta, jejíž úložný prostor lze rozšířit ještě o užitkovou tornou nebo stan.","Leichte und praktische Weste, die mit einer Ergänzungstasche oder einem Zelt erweitert werden kann.","Легкий и полезный жилет, на который можно повесить универсальную поясную сумку или палатку.","Lekka i praktyczna kamizelka. Można do niej przymocować nerka lub namiot.","Könnyű és hasznos mellény, amely kiegészíthető csatolt haszontárgy-zsákkal vagy sátorral.","Giubbotto utile e leggero che può essere ampliato con uno zaino buttpack o una tenda.","Chaleco ligero y útil. Puede ampliarse con una mochila pequeña de utilidades o una tienda de campaña.","Un gilet léger et pratique pouvant accueillir le paquetage utilitaire ou une tente.","輕型而實用的背心，可以加裝通用腰包或帳篷。","軽量で役立つベスト。付随の汎用ブットパックやテントで拡張することができる。","Colete leve e útil que pode ser expandido com uma pochete utilitária ou uma tenda acoplada.","轻便实用的背心，可以通过捆绑多功能臀包或帐篷来扩大。",
STR_PlayZ_MediumTent_Desc,"A camping tent. Offers a comfortable and dry space, with additional storage space. Fitted with clips to attach to an assault vest.","A camping tent. Offers a comfortable and dry space, with additional storage space. Fitted with clips to attach to an assault vest.","Tábornický stan. Skýtá pohodlný a suchý prostor a také úložný prostor navíc. Vybaven sponami pro upevnění na útočnou vestu.","Campingzelt mit gemütlichem und trockenem Innenraum, der auch als Lagerfläche herhalten kann. Mit Clips zum Befestigen an der Sturmweste.","Палатка для кемпинга. Удобная палатка с дополнительным местом для снаряжения, защищает от дождя. Оснащена креплениями для разгрузочного жилета.","Namiot. Suchy i wygodny, nada się do odpoczynku oraz magazynowania. Wyposażony w klipsy do mocowania na kamizelce szturmowej.","Kemping sátor. Kényelmes és száraz teret biztosít, extra tárolóhellyel. Kapcsokkal felszerelve, rögzíthető rohammellényre.","Una tenda da campeggio. Consente di stare comodi e all'asciutto e offre un ulteriore spazio di deposito. Dotata di clip per il giubbotto d'assalto.","Una tienda de campaña. Ofrece un espacio cómodo y seco, con espacio de almacenamiento adicional. Con clips para fijarla al chaleco de asalto.","Une tente de camping. Un abri confortable et étanche offrant également un espace de rangement. Munie de clips pour le gilet d'assaut.","露營帳篷。篷內舒適而乾燥，還有空間收納物品。配有夾扣，可掛在突擊背心上。","キャンプ用のテント。居心地がよく雨をしのげる。追加の収納スペースもある。強襲用ベストに取り付けるクリップ付き。","Uma barraca de acampamento. Oferece um local confortável e seco, com espaço de armazenamento adicional. Equipada com clipes para fixar no colete de assalto.","一个野营帐篷。可提供舒适干爽的空间，还有额外的储物空间。配有夹扣，可挂在突击背心上。",
STR_PlayZ_LargeTent_Desc,"A large military tent. It can house a small unit, along with its equipment. Fitted with clips to attach to an assault vest.","A large military tent. It can house a small unit, along with its equipment. Fitted with clips to attach to an assault vest.","Velký vojenský stan. Vleze se do něj menší jednotka včetně vybavení. Vybaven sponami pro upevnění na útočnou vestu.","Großes Militärzelt. Kann eine kleine Einheit inklusive Ausrüstung beherbergen. Mit Clips zum Befestigen an der Sturmweste.","Большая военная палатка. В ней поместится небольшой отряд вместе со всем своим снаряжением. Оснащена креплениями для разгрузочного жилета.","Duży namiot wojskowy. W środku zmieści się mały oddział z ekwipunkiem. Wyposażony w klipsy do mocowania na kamizelce szturmowej.","Nagy katonai sátor. Elég hely egy kisebb egységnek és felszerelésének. Kapcsokkal felszerelve, rögzíthető rohammellényre.","Una grossa tenda militare. Può ospitare una piccola unità, equipaggiamento incluso. Dotata di clip per il giubbotto d'assalto.","Una gran tienda militar. Puede albergar a una pequeña unidad con su equipo. Con clips para fijarla al chaleco de asalto.","Une grande tente militaire. Elle peut accueillir une petite unité et son équipement. Munie de clips pour le gilet d'assaut.","大型軍用帳篷。可以容納一小隊士兵，連同他們的裝備。配有夾扣，可掛在突擊背心上。","大きな軍用テント。小さな部隊が使用できるだけのスペースがあり、さらに部隊の使う道具も置くことができる。強襲用ベストに取り付けるクリップ付き。","Uma tenda militar grande. Pode abrigar uma pequena unidade, juntamente com seu equipamento. Equipada com clipes para fixar no colete de assalto.","一个大型军用帐篷。它能容纳一支小型部队及其装备。配有夹扣，可挂在突击背心上。",
STR_PlayZ_CarTent_Desc,"A large tent, spacious enough to shelter a parked vehicle or a pile of equipment. Fitted with clips to attach to an assault vest.","A large tent, spacious enough to shelter a parked vehicle or a pile of equipment. Fitted with clips to attach to an assault vest.","Velký stan, který je dostatečně prostorný, aby zastřešil zaparkované vozidlo nebo hromadu vybavení. Vybaven sponami pro upevnění na útočnou vestu.","Großes Zelt, in dem sogar ein geparktes Fahrzeug oder ein Haufen Ausrüstung untergebracht werden kann. Mit Clips zum Befestigen an der Sturmweste.","Большая просторная палатка, в которую поместится автомобиль или большая куча снаряжения. Оснащена креплениями для разгрузочного жилета.","Duży namiot, w którym zmieści się pojazd albo sterta sprzętu. Wyposażony w klipsy do mocowania na kamizelce szturmowej.","Nagy sátor, elég tágas ahhoz, hogy befogadjon egy parkoló járművet vagy felszereléshalmot. Kapcsokkal felszerelve, rögzíthető rohammellényre.","Una tenda grande e spaziosa per potervi ospitare un veicolo parcheggiato o attrezzatura in pila. Dotata di clip per il giubbotto d'assalto.","Una tienda grande, lo bastante espaciosa como para dar cobijo a un vehículo aparcado o a una montaña de equipo. Con clips para fijarla al chaleco de asalto.","Une grande tente offrant suffisamment d'espace pour abriter un véhicule ou beaucoup d'équipement. Munie de clips pour le gilet d'assaut.","大型帳篷，篷內空間寬廣，可以容納一台載具或者大量裝備。配有夾扣，可掛在突擊背心上。","駐車した車両や機材の山を収納できるだけのスペースがある大きなテント。強襲用ベストに取り付けるクリップ付き。","Uma tenda grande, espaçosa o suficiente para abrigar um veículo estacionado ou uma pilha de equipamentos. Equipada com clipes para fixar no colete de assalto.","一个宽敞的大帐篷，足够遮蔽一辆停放的汽车或一堆装备。配有夹扣，可挂在突击背心上。",
