"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
STR_TERJESKILL_IMMUNITY_NAME,IMMUNITY,IMMUNITY,IMUNITA,IMMUNITÄT,ИММУНИТЕТ,ODPORNOŚĆ,IMMUNITÁS,IMMUNITÀ,INMUNIDAD,IMMUNITÉ,免疫力,免疫力,IMUNIDADE,免疫力,
STR_TERJESKILL_IMMUNITY_DESC,"Organic defense index measuring immune system efficiency. This skill reduces the chances of contracting viral pathologies, increases intoxication tolerance, prevents post-traumatic septic shock, increases resistance to cold and environmental stress, and enhances the ability to regain composure and consciousness.","Organic defense index measuring immune system efficiency. This skill reduces the chances of contracting viral pathologies, increases intoxication tolerance, prevents post-traumatic septic shock, increases resistance to cold and environmental stress, and enhances the ability to regain composure and consciousness.","Index organické obranyschopnosti měřící efektivitu imunitního systému. Tato dovednost snižuje riziko nákazy virovými patologiemi, zvyšuje toleranci vůči intoxikaci, předchází posttraumatickému septickému šoku, zvyšuje rezistenci vůči chladu a stresu prostředí a zlepšuje schopnost nabýt vědomí a rozvahy.","Index der organischen Abwehr zur Messung der Effizienz des Immunsystems. Diese Fertigkeit verringert das Risiko viraler Pathologien, erhöht die Intoxikationstoleranz, beugt dem posttraumatischen septischen Schock vor, erhöht die Widerstandsfähigkeit gegen Kälte und Umweltstress und verbessert die Fähigkeit, das Bewusstsein und die Fassung wiederzuerlangen.","Индекс органической защиты, измеряющий эффективность иммунной системы. Данный навык снижает риск заражения вирусными патологиями, повышает толерантность к интоксикации, предотвращает посттравматический септический шок, повышает устойчивость к холоду и стрессам окружающей среды, а также улучшает способность приходить в сознание и восстанавливать самообладание.","Wskaźnik obrony organicznej mierzący wydolność układu immunologicznego. Umiejętność ta redukuje ryzyko zapadalności na patologie wirusowe, zwiększa tolerancję na intoksykcję, zapobiega potraumatycznemu szokowi septycznemu, zwiększa odporność na zimno i stres środowiskowy oraz poprawia zdolność odzyskiwania przytomności i opanowania.","Szervezeti védekezési index, amely az immunrendszer hatékonyságát méri. Ez a készség csökkenti a vírusos patológiák kialakulásának esélyét, növeli az intoxikációs toleranciát, megelőzi a poszttraumás szeptikus sokkot, növeli a hideggel és a környezeti stresszel szembeni ellenállást, valamint javítja az eszmélet és a lélekjelenlét visszanyerésének képességét.","Indice di difesa organica che misura l'efficienza del sistema immunitario. Questa abilità riduce le probabilità di contrarre patologie virali, aumenta la tolleranza alle intossicazioni, previene lo shock settico post-traumatico, aumenta la resistenza al freddo e allo stress ambientale e migliora la capacità di riprendere conoscenza e compostezza.","Índice de defensa orgánica que mide la eficiencia del sistema inmunitario. Esta habilidad reduce las probabilidades de contraer patologías virales, aumenta la tolerancia a la intoxicación, previene el choque séptico postraumático, aumenta la resistencia al frío y al estrés ambiental, y mejora la capacidad de recuperar la conciencia y la compostura.","Indice de défense organique mesurant l'efficacité du système immunitaire. Cette compétence réduit les chances de contraction de pathologies virales, augmente la tolérance aux intoxications, prévient les chocs septiques post-traumatiques, augmente la résistance au froid et au stress environnemental, et améliore la capacité à reprendre connaissance et à retrouver son sang-froid.",衡量免疫系統效率的有機防禦指標。此技能可降低感染病毒性病理特徵的機率、提高對中毒的耐受力、預防創傷後敗血性休克、增加對寒冷與環境壓力的抵抗力，並增強恢復意識與鎮定的能力。,免疫システムの効率を測定する生体防御指標。このスキルはウイルス性病理の感染リスクを低減させ、中毒耐性を高め、外傷後の敗血症性ショックを抑制し、寒さや環境ストレスへの耐性を高め、意識や落ち着きを取り戻す能力を向上させる。,"Índice de defesa orgânica que mede a eficiência do sistema imunológico. Esta habilidade reduz as chances de contrair patologias virais, aumenta la tolerância a intoxicações, previne o choque séptico pós-traumático, aumenta a resistência ao frio e ao estresse ambiental e melhora a capacidade de recuperar a consciência e a compostura.",衡量免疫系统效率的有机防御指标。此技能可降低感染病毒性病理特征的几率，提高对中毒的耐受力，预防创伤后败血性休克，增加对寒冷与环境压力的抵抗力，并增强恢复意识与镇定的能力。,
STR_TERJESKILL_IMMUNITY_MOD0coldres,Natural resistance to cold:,Natural resistance to cold:,Přirozená rezistence vůči chladu:,Natürliche Kälteresistenz:,Естественная резистентность к холоду:,Naturalna odporność na zimno:,Természetes hidegellenállás:,Resistenza naturale al freddo:,Resistencia natural al frío:,Résistance naturelle au froid:,自然抗寒力：,自然耐寒性：,Resistência natural ao frio:,自然抗寒力：,
STR_TERJESKILL_IMMUNITY_MOD0recshock,Ability to regain consciousness:,Ability to regain consciousness:,Schopnost nabýt vědomí:,Fähigkeit das Bewusstsein wiederzuerlangen:,Способность приходить в сознание:,Zdolność odzyskiwania przytomności:,Eszmélet visszanyerésének képessége:,Capacità di riprendere conoscenza:,Capacidad para recuperar la conciencia:,Capacité à reprendre connaissance:,恢復意識的能力：,意識を回復する能力：,Capacidade de recuperar a consciência:,恢复意识的能力：,
STR_TERJESKILL_IMMUNITY_MOD0irnmind,Ability to regain composure:,Ability to regain composure:,Schopnost znovuzískání rozvahy:,Fähigkeit die Fassung wiederzuerlangen:,Способность восстанавливать самообладание:,Zdolność odzyskania opanowania:,Lélekjelenlét visszanyerésének képessége:,Capacità di riprendere la compostezza:,Capacidad para recuperar la compostura:,Capacité à retrouver son sang-froid:,恢復鎮定的能力：,落ち着きを取り戻す能力：,Capacidade de recuperar a compostura:,恢复镇定的能力：,
STR_TERJESKILL_IMMUNITY_MOD0rabres,Natural resistance to rabies:,Natural resistance to rabies:,Přirozená rezistence vůči vzteklině:,Natürliche Resistenz gegen Tollwut:,Естественная резистентность к бешенству:,Naturalna odporność na wściekliznę:,Vezeték elleni természetes rezisztencia:,Resistenza naturale alla rabbia:,Resistencia natural a la rabia:,Résistance naturelle à la rage:,自然對狂犬病的抵抗力：,狂犬病への自然抵抗力：,Resistência natural à raiva:,对狂犬病的自然抵抗力：,
STR_TERJESKILL_IMMUNITY_MOD0resdiseasesmod,Natural resistance to diseases and viruses:,Natural resistance to diseases and viruses:,Přirozená rezistence vůči chorobám a virům:,Natürliche Resistenz gegen Krankheiten und Viren:,Естественная резистентность к болезням и вирусам:,Naturalna rezystancja na choroby i wirusy:,Betegségekkel és vírusokkal szembeni természetes rezisztencia:,Resistenza naturale a malattie e virus:,Resistencia natural a enfermedades y virus:,Résistance naturelle aux maladies et virus :,對疾病與病毒的自然抵抗力：,疾患およびウイルスへの自然抵抗力：,Resistência natural a doenças e vírus:,对疾病与病毒的自然抵抗力：,
STR_TERJESKILL_IMMUNITY_MOD0poisonres,Natural resistance to expired or toxic food:,Natural resistance to expired or toxic food:,Přirozená tolerance vůči expirovaným či toxickým potravinám:,Natürliche Tolerance gegenüber abgelaufenen oder toxischen Lebensmitteln:,Естественная толерантность к просроченной или токсичной пище:,Naturalna tolerancja na przeterminowaną lub toksyczną żywność:,Lejárt vagy toxikus élelmiszerekkel szembeni természetes tolerancia:,Tolleranza naturale a cibi scaduti o tossici:,Tolerancia natural a alimentos caducados o tóxicos:,Résistance naturelle aux aliments périmés ou toxiques :,對過期或有毒食物的自然耐受力：,期限切れまたは毒性食品への自然耐性：,Tolerância natural a alimentos vencidos ou tóxicos:,对过期或有毒食物的自然耐受力：,
STR_TERJESKILL_IMMUNITY_MOD0biohzres,Natural resistance to chemical agents and biohazards:,Natural resistance to chemical agents and biohazards:,Přirozená rezistence vůči chemickým agens a biologickým rizikům:,Natürliche Resistenz gegen chemische Agenzien und biologische Gefahren:,Естественная резистентность к химическим агентам и биологическим опасностям:,Naturalna odporność na czynniki chemiczne i zagrożenia biologiczne:,Természetes ellenállás vegyi anyagokkal és biológiai veszélyekkel szemben:,Resistenza naturale ad agenti chimici e rischi biologici:,Resistencia natural a agentes químicos y biopeligros:,Résistance naturelle aux agents chimiques et aux risques biologiques:,對化學製劑和生物危害的自然抵抗力：,化学物質およびバイオハザードへの自然耐性：,Resistência natural a agentes químicos e bio-riscos:,对化学制剂 and 生物危害的自然抵抗力：,
STR_TERJESKILL_IMMUNITY_MOD0sepsisres,Natural resistance to wound infections and septic shock:,Natural resistance to wound infections and septic shock:,Přirozená rezistence vůči infekcím ran a sepsi:,Natürliche Resistenz gegen Wundinfektionen und Sepsis:,Естественная резистентность к инфекциям ран и сепсису:,Naturalna rezystancja na infekcje ran i sepsę:,Sebfertőzésekkel és szepszissel szembeni természetes rezisztencia:,Resistenza naturale alle infiltrazioni cutanee e allo shock settico:,Resistencia natural a infecciones de heridas y sepsis:,Résistance naturelle aux infections de plaies et au choc septique :,對傷口感染與敗血性休克的自然抵抗力：,創傷感染および敗血症性ショックへの自然抵抗力：,Resistência natural a infecções de feridas e sepse:,对伤口感染与败血性休克的自然抵抗力：,
